지하철역명,노선개수,Latitude,Longitude
﻿삼전역,1,37.51101671275264,127.11266171422027
﻿석촌고분역,1,37.5165379932802,127.116449169971
﻿석촌역,2,37.52840258997037,127.14841167813621
﻿송파나루역,1,37.5445416897534,126.951451177648
﻿한성백제역,1,37.504549097056476,127.08736363126373
﻿올림픽공원역,2,37.602614606648,127.013539545056
﻿중앙보훈병원역,1,37.5546788388674,126.970606917394
﻿정릉역,1,37.5163389870117,127.130963675401
﻿서울역,4,37.5054141216925,127.107004062699
﻿공덕역,4,37.50246245994369,127.0965081858022
﻿홍대입구역,3,37.5568707448873,126.923778562273
﻿디지털미디어시티역,3,37.56196757232288,126.80191361988808
﻿김포공항역,4,37.5521384864879,126.935507621173
﻿수색역,1,37.57601374718818,126.90127778415635
﻿가좌역,1,37.5808157167381,126.895659539922
﻿서강대역,1,37.519568139395346,126.98841094338457
﻿용산역,2,37.52241291408466,126.97354382085399
﻿이촌역,2,37.5294289189437,127.009209110584
﻿서빙고역,1,37.5300763645794,126.964824061815
﻿한남역,1,37.5687541714336,126.914824171209
﻿옥수역,2,37.5415662783673,127.017393782846
﻿응봉역,1,37.5499526279456,127.034483653629
﻿왕십리역,4,37.580160149330815,127.04789833684475
﻿청량리역,4,37.561268363317176,127.03710337610202
﻿회기역,3,37.5897962196601,127.058048369273
﻿중랑역,2,37.6066060557557,127.107946139148
﻿상봉역,3,37.5948425975025,127.075680398461
﻿망우역,2,37.59894517013323,127.11439536420819
﻿양원역,1,37.555198169366435,126.93698075993808
﻿신촌역,2,37.5967097755022,127.085746686941
﻿광운대역,2,37.6238373628149,127.061695160651
﻿신내역,2,37.6495307746374,127.01369763482
﻿4.19 민주묘지역,1,37.6124910157349,127.104271439503
﻿가오리역,1,37.6121367531121,127.008263392003
﻿보문역,2,37.6415440572233,127.01676896839822
﻿북한산보국문역,1,37.585541696968,127.020003515933
﻿북한산우이역,1,37.66288704047998,127.01275713087601
﻿삼양역,1,37.6213181360851,127.020488845069
﻿삼양사거리역,1,37.6213181360851,127.020488845069
﻿성신여대입구역,2,37.59296812939267,127.0171260607647
﻿솔밭공원역,1,37.6559782562487,127.013268181236
﻿솔샘역,1,37.620259575206596,127.01355180603669
﻿신설동역,3,37.5760299683175,127.024456700382
﻿서울숲역,1,37.5275184818021,127.0406027693898
﻿압구정로데오역,1,37.543645796605,127.044746216358
﻿강남구청역,2,37.51721617197854,127.0413109462156
﻿선정릉역,2,37.5109326388803,127.043627289129
﻿선릉역,2,37.4962857047653,127.052909749417
﻿한티역,1,37.49097398162934,127.05549883514037
﻿도곡역,2,37.504497373023206,127.04896282498558
﻿구룡역,1,37.4891394691891,127.066120707828
﻿개포동역,1,37.4870274262116,127.059492941655
﻿대모산입구역,1,37.4915500752654,127.073070274916
﻿수서역,2,37.4852951142482,127.104469788175
﻿복정역,2,37.47074367341675,127.12672175187316
﻿효창공원앞역,2,37.5445416897534,126.951451177648
﻿화계역,1,37.6340873974011,127.017510491529
﻿마곡나루역,2,37.5667126094974,126.827420928424
﻿금천구청역,1,37.4561943743749,126.893608614581
﻿대림역,2,37.4933099444417,126.894931036051
﻿군자역,2,37.54796087622509,127.07465525507352
﻿어린이대공원역,1,37.557151488837924,127.0795106156054
﻿건대입구역,2,37.54040751726388,127.06920291650829
﻿뚝섬유원지역,1,37.6192032466353,126.921100704496
﻿청담역,1,37.5293678488147,127.065531702319
﻿구파발역,1,37.519455579961,127.053717937903
﻿연신내역,2,37.6364357889145,126.918852820009
﻿불광역,2,37.6100477979795,126.930315826401
﻿녹번역,1,37.6008067681825,126.935828008217
﻿홍제역,1,37.5887953806088,126.944158007985
﻿무악재역,1,37.57446627898665,126.95791371132584
﻿독립문역,1,37.5825632263526,126.950230954136
﻿경복궁역,1,37.5758061234865,126.973691352767
﻿안국역,1,37.56139658395457,126.99414960395544
﻿종로3가역,3,37.57650192060523,126.98542143228659
﻿을지로3가역,2,37.570420844523,126.992153252476
﻿충무로역,2,37.56629149790628,126.99098443539428
﻿동대입구역,1,37.55905581925076,127.00531600900922
﻿약수역,2,37.5545053994984,127.010891666957
﻿금호역,1,37.548260922874086,127.01582916945283
﻿압구정역,1,37.6702168353314,127.079066619316
﻿당고개역,1,37.52649127416921,127.02850865895756
﻿상계역,1,37.660720544722,127.073421632239
﻿남성역,1,37.4963172817574,126.953621963422
﻿숭실대입구역,1,37.484793511299706,126.97091020065321
﻿상도역,1,37.5048990621814,126.939072381356
﻿장승배기역,1,37.5028706251049,126.947917975554
﻿신대방삼거리역,1,37.49992085496506,126.92061230710924
﻿보라매역,1,37.499757228908564,126.92821094566965
﻿신풍역,1,37.5001229935524,126.90975434386
﻿남구로역,1,37.48625714438263,126.88741505160269
﻿가산디지털단지역,2,37.4803959660982,126.882661758356
﻿천왕역,1,37.48685558277736,126.83860534807998
﻿온수역,2,37.4919675365056,126.823847928009
﻿강동구청역,1,37.5178055794687,127.11286534895457
﻿몽촌토성역,1,37.5302111983522,127.12044373032
﻿잠실역,2,37.51331105877401,127.10023101886318
﻿송파역,1,37.4997149535067,127.112193506363
﻿가락시장역,2,37.4930992522183,127.118262745146
﻿문정역,1,37.4860310539381,127.122484886901
﻿장지역,1,37.47821038844281,127.12583216662433
﻿화랑대역,1,37.61984245540276,127.08354181123269
﻿방화역,1,37.5776031994404,126.812819296675
﻿개화산역,1,37.5725371505293,126.806814314979
﻿송정역,1,37.5611612387718,126.812430347154
﻿마곡역,1,37.56022863776301,126.82469691791624
﻿발산역,1,37.558677743241596,126.83773640693936
﻿우장산역,1,37.54881618721654,126.83632627213518
﻿화곡역,1,37.5406250950297,126.841525355833
﻿까치산역,2,37.5322306724471,126.846444264065
﻿신정역,1,37.5250276134139,126.856097474225
﻿목동역,1,37.526135115923466,126.86462527157516
﻿오목교역,1,37.5245340839144,126.875307312696
﻿영등포구청역,2,37.5258305311402,126.89667739939
﻿영등포시장역,1,37.522709383885,126.905179566968
﻿신길역,2,37.51678703217714,126.91836721069228
﻿여의도역,2,37.53955402908912,126.94586257221307
﻿여의나루역,1,37.5271469489465,126.93298596744
﻿마포역,1,37.5211700890445,126.92466104293
﻿애오개역,1,37.5534131497489,126.956669363197
﻿충정로역,2,37.55976328822766,126.96449207476172
﻿봉화산역,1,37.617350836302734,127.09136011564394
﻿신사역,2,37.51643597531432,127.02030856272764
﻿논현역,2,37.51120000205266,127.02165424259898
﻿신논현역,2,37.5073353959717,127.033970921595
﻿언주역,1,37.504811111562,127.025492036104
